Respondent,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8a,Q8b,Q8c,Q8d,Q8e,Q8f,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,,,,,
1,Increasing pay,Full Time,3,Additional funding for Counselling,No,1,No,1,3,2,6,5,4,wages keep up with inflation,5,3,4,4,4,4,,0,4,Better lighting in the parking lot,4,More women in leadership positions,Yes,East,15,,,,,
2,Improve benefits,Full Time,1,Drug coverage,Yes,3,Yes,3,4,6,5,1,2,Keep up with inflation. I can't pay my bills.,4,1,1,3,1,2,Be able to work from home once a week,0,3,,4,,No,North,2,,,,,
3,Job security,Part Time,,,No,1,No,3,1,5,4,6,2,Additional hourly pay for onboarding,1,1,1,1,3,3,Give me more hours,0,3,,5,,No,North,,,,,,
4,Job security,Part Time,,,I don't know,4,No,3,2,5,4,6,1,Recognition pay for part time,5,3,3,5,4,2,more flexibility on work from home for part time,0,4,,4,,Yes,East,1,,,,,
5,Improve working conditions,Full Time,3,Wellness account,Yes,3,No,2,3,,4,5,1,,1,1,1,2,2,2,More control over how I do my work and where,0,2,Visible minorities are not given same project opportunities and over-time as others,2,Visible minorities are not given same project opportunities and over-time as others,Prefer not to answer,South,6,,,,,
6,Increasing pay,Part Time,,,No,2,No,2,1,5,3,6,4,Minimum number of hours for part time,1,1,1,1,4,4,More guaranteed hours each week,0,4,,4,,Yes,North,3,,,,,
7,Improve benefits,Full Time,5,Wellness account,Yes,4,Yes,4,3,5,1,6,2,More paid time off. More vacation days.,4,4,2,5,4,4,Closer parking,15,4,,4,,No,North,8,,,,,
8,Improve working conditions,Full Time,4,Wellness account,I don't know,2,Yes,4,3,5,2,6,1,Increase recognition pay and provide performance bonuses,4,2,2,5,3,3,Provide childcare on site,5,4,Better training for emergency response such as where to go during a tornado,3,Celebration of holidays of multiple religions and cultures,No,East,4,,,,,
9,Improve benefits,Part Time,,,I don't know,2,No,3,2,5,3,6,1,performance bonuses,4,3,2,4,2,3,provide childcare or provide more flexibility as to when I work so that I can work around childcare,0,5,,5,,No,East,1,,,,,
10,Improve working conditions,Full Time,2,Drug coverage,Yes,3,No,4,1,5,3,6,2,More vacation days,4,1,1,4,3,3,not all areas of the campus are wheelchair accessible,0,1,ramps for wheelchairs. sometimes I have to go all the way around the building to get in the one door with a wheelchair ramp.,1,ramps for wheelchairs. sometimes I have to go all the way around the building to get in the one door with a wheelchair ramp.,Yes,South,5,,,,,
11,Increasing pay,Full Time,4,Wellness account,No,2,No,6,5,4,2,3,1,additional pay for those willing to work the night shift,1,2,3,3,2,4,provide bonus pay to those working the night shift,8,4,designated safety officer for night shift,3,,Yes,East,4,,,,,
12,Improve benefits,Full Time,2,greater coverage of orthodontics for family members,Yes,4,Yes,1,3,5,2,6,4,more paid days off for family issues,2,2,2,4,4,4,provide childcare,0,4,increase ventilation in offices,4,,No,North,10,,,,,
13,Improve working conditions,Full Time,4,Massage,Yes,4,Yes,1,2,5,4,6,3,raise,2,2,2,4,4,4,provide up to date technology so that I can do my job. My computer is ten years old and very slow.,0,4,clean office space more frequently,4,,No,North,11,,,,,
14,Increasing pay,Full Time,2,Drug coverage,No,1,No,3,2,6,6,6,1,ability to top up retirement contributions,2,4,2,2,4,4,more opportunities for overtime,5,4,,2,who gets overtime is not fairly determined,No,South,4,,,,,
15,Improve working conditions,Full Time,2,Dental,Yes,3,No,5,3,2,5,6,1,Paid time off for when kids are sick or have special events.,1,1,1,5,2,5,Greater flexibility in work hours. Able to work a 4 day work week.,0,4,,2,offer flexible work arrangements for employees with different needs,No,East,6,,,,,
16,Increasing pay,Full Time,3,Health spending account,No,1,No,6,2,6,3,6,1,Funding and time off work for leadership training,4,4,1,5,5,4,More mentoring opportunities,0,3,increase accessibility from parking lot into the building,2,greater opportunities for people to move up into management,Yes,South,8,,,,,
17,Improve benefits,Full Time,2,Maternity Leave,Yes,4,Yes,3,2,4,5,6,1,performance bonuses,1,1,1,4,2,3,incentive pay for those who have to come in earlier than others,0,3,provide greater work-life balance so that less people burnout,4,,No,North,4,,,,,
18,Improve benefits,Full Time,3,maternity leave top up pay,No,3,,4,2,5,3,6,1,provide top up pay for people on maternity leave,1,2,1,4,2,3,ability to work 4 day work week,0,4,,2,not accommodating to needs of parents with young children and people who are pregnant,No,East,3,,,,,
19,Increasing pay,Full Time,4,Wellness account,No,2,No,1,2,5,4,6,3,cost of living increase. performance pay.,2,3,1,4,4,2,"leadership training opportunities, able to work at campus closer to where I live",12,4,,2,"need opportunities to move up within the company, train internal people, rather than just bringing in external management",No,East,7,,,,,
20,Improve working conditions,Full Time,4,Wellness account,No,2,No,3,2,6,6,6,1,bonuses for departments that out perform,1,1,1,4,1,2,"My boss is an ass who makes us all come in an hour before other departments. When I asked to transfer locations, my request was denied.",0,2,don't hire bullies,3,,No,South,3,,,,,
21,Job security,Part Time,,,I don't know,3,No,3,2,4,5,6,1,provide professional development opportunities for part time,2,2,4,2,3,5,give me more hours and flexibility as to when I need to come in. I can't get a second job elsewhere because the hours are constantly changing.,0,3,,3,,Yes,North,2,,,,,
22,Increasing pay,Full Time,4,Drug coverage,No,2,Yes,4,1,5,3,,6,I need a raise. Inflation is way more than I get paid.,5,4,2,4,5,5,pay me enough to afford the commute,4,4,more ergonomic working conditions,4,,No,North,25,,,,,
23,Improve working conditions,Full Time,3,Drug coverage,Yes,3,Yes,2,3,6,4,6,1,paid vacation days,2,4,1,1,4,4,provide a retirement transition where full time reduce hours,20,3,encourage work life balance. work environment is making people ill,4,,No,South,30,,,,,
24,Increasing pay,Full Time,4,Wellness account,No,2,No,4,3,6,2,6,1,give me a raise,1,1,1,4,3,2,prefer to work at different site. the south location is old and in terrible condition.,0,2,"the south location is old and in terrible condition, everything is always broken.",3,,No,South,7,,,,,
25,Job security,Part Time,,,No,2,No,3,2,4,5,6,1,cost of living increase,2,4,4,2,4,4,need more hours,0,4,,3,,Yes,East,2,,,,,
26,Improve working conditions,Part Time,,,I don't know,3,No,4,3,2,5,6,1,paid days off for important family events,3,2,4,3,3,3,"more flexibility, weeks with less hours to accommodate my other work but then overtime options on other weeks to compensate",0,4,,4,,Yes,East,2,,,,,
27,Improve benefits,Full Time,4,Wellness account,I don't know,2,No,5,2,1,4,6,3,extra pay for working nights,2,4,1,4,5,3,Increase pay for working night shift. Appreciate the flexibility to work nights while going to school during the day.,5,4,,3,more minority management,Yes,East,1,,,,,
28,Improve working conditions,Full Time,3,Dental,Yes,2,No,3,2,6,4,6,1,increase pay more than inflation,2,3,1,4,4,3,provide opportunities to show leadership skills and be mentored for future leadership positions.,5,4,,2,more opportunities for workers to move into management,No,East,8,,,,,
29,Improve working conditions,Full Time,2,Drug coverage,I don't know,2,No,3,2,6,4,6,1,pay increase,2,2,2,4,4,1,The equipment at the south location is old and broken. I can't do my job.,0,1,South location has broken equipment and old buildings. Someone is going to get hurt.,3,,Yes,South,6,,,,,
30,Improve working conditions,Full Time,2,Drug coverage,Yes,2,No,6,1,6,3,6,2,need a raise,1,1,1,4,4,1,move to another campus,0,1,Shut down the south location and move everyone to the east.,3,,No,South,3,,,,,
31,Job security,Part Time,,,Yes,3,No,2,5,6,3,4,1,pay for onboarding of part time,1,2,3,1,4,3,more hours,0,3,,3,,No,East,2,,,,,
32,Increasing pay,Full Time,2,Drug coverage,No,2,Yes,6,2,6,3,6,1,"substantial pay increase, the previous rounds of bargaining have given little to nothing. do something.",4,4,2,4,4,2,Provide newer technology,10,3,Building maintenance is lacking.,4,,No,South,25,,,,,
33,Increasing pay,Full Time,2,Massage,No,1,No,6,6,6,2,6,1,better pay,1,2,1,3,3,2,need hazard pay to work at the south location,5,2,structural posts in the south location are crumbling. fix the building or relocate us to a different campus.,3,,No,South,16,,,,,
34,Increasing pay,Full Time,4,Wellness account,I don't know,3,Yes,4,3,2,5,6,1,Christmas bonuses,2,2,2,4,5,5,more opportunities for advancement,0,4,,4,,No,East,12,,,,,
35,Improve benefits,Full Time,1,Coverage of hospital and doctors visits,I don't know,2,No,6,2,6,3,6,1,increase medical benefits,3,1,1,3,3,5,increased flexibility for working from home or working reduced work weeks,0,4,,4,,No,East,6,,,,,
36,Improve benefits,Full Time,2,Drug coverage,1,2,1,2,3,6,4,6,1,pay raise,3,2,2,4,4,4,,0,4,,4,,No,East,18,,,,,
37,Increasing pay,Full Time,4,Wellness account,Yes,3,Yes,5,2,4,3,6,1,,3,2,2,4,4,4,,0,4,Better lighting in the parking lot,3,,No,East,22,,,,,
38,Increasing pay,Full Time,3,Wellness account,No,2,Yes,6,3,6,2,6,1,,3,2,2,3,3,4,,15,4,,4,,No,East,27,,,,,
39,Increasing pay,Full Time,4,Wellness account,Yes,3,Yes,2,3,6,4,5,1,,2,3,2,4,4,4,,5,3,,3,,Yes,North,14,,,,,
40,Improve benefits,Full Time,2,Dental,2,2,2,6,3,6,2,6,1,improve retirement pay,4,2,2,4,4,3,newer tech,0,2,better equipment,3,,No,South,17,,,,,
41,Improve benefits,Full Time,3,Drug coverage,2,3,1,6,6,6,2,6,1,,4,2,2,4,4,3,,5,3,,4,,No,East,11,,,,,
42,Increasing pay,Full Time,2,Drug coverage,No,2,Yes,2,1,5,3,6,4,,3,3,4,3,3,4,mentorship opportunities,0,4,,2,more diversity in leadership,No,North,13,,,,,
43,Improve benefits,Full Time,2,Drug coverage,3,2,2,2,3,6,4,6,1,,3,3,4,3,3,4,,0,3,,3,,Yes,North,22,,,,,
44,Improve benefits,Full Time,3,Dental,1,3,1,6,2,6,3,6,1,raise,4,2,4,4,4,3,,0,4,,4,,No,North,28,,,,,
45,Increasing pay,Full Time,3,Drug coverage,I don't know,3,Yes,6,6,6,2,6,1,,3,2,4,3,4,4,"Less hours, transition to retirement plan",12,3,,4,,No,East,27,,,,,
46,Improve benefits,Full Time,2,Drug coverage,2,4,2,2,3,6,4,6,1,,2,2,2,4,4,2,fix the building,0,3,building in terrible condition,3,,No,South,26,,,,,
47,Improve working conditions,Full Time,4,Wellness account,Yes,3,No,1,3,6,3,6,2,pay increase,1,1,1,2,2,1,supportive leadership,0,1,stop hiring terrible leadership,1,stop hiring terrible leadership,Prefer not to answer,South,2,,,,,
48,Improve working conditions,Full Time,4,Drug coverage,No,2,Yes,4,3,1,5,6,2,pay increase,2,2,2,4,4,2,,0,3,,3,recognize Pride,Prefer not to answer,South,4,,,,,
49,Improve working conditions,Full Time,4,Drug coverage,I don't know,2,No,6,1,2,4,6,3,more overtime opportunities,2,3,2,2,4,2,More mentoring opportunities,0,3,,2,equal opportunity for projects,Prefer not to answer,South,6,,,,,
50,Improve working conditions,Full Time,4,Wellness account,No,2,No,4,2,3,5,6,1,more overtime opportunities,2,3,2,2,4,2,more projects and overtime,0,4,,2,opportunities for leadership,Prefer not to answer,South,2,,,,,
51,Increasing pay,Full Time,4,Wellness account,No,2,Yes,6,3,2,6,6,1,raise,2,2,2,4,4,2,pay increase,0,4,,2,host Pride events,Prefer not to answer,South,3,,,,,
52,Improve working conditions,Part Time,,,No,2,No,6,1,6,3,6,2,paid day off,2,3,2,2,4,4,,0,4,,3,,No,North,1,,,,,
53,Job security,Part Time,,,Yes,3,No,2,1,4,5,6,3,,2,4,2,2,4,4,more hours,0,3,,4,,Yes,North,3,,,,,
54,Improve working conditions,Part Time,,,I don't know,4,No,2,1,6,4,6,3,paid day off,2,3,2,3,4,3,more hours,0,4,,4,,No,North,2,,,,,
55,Job security,Part Time,,,Yes,4,No,6,1,5,4,2,3,,2,2,2,2,3,3,,0,4,,3,,No,North,5,,,,,
56,Improve working conditions,Part Time,,,Yes,3,No,6,2,1,3,5,4,PT eligible for performance bonus,2,3,2,3,4,4,,0,3,,3,,Yes,East,2,,,,,
57,Job security,Part Time,,,I don't know,4,No,3,2,1,5,6,4,,2,3,2,2,3,4,more hours,0,3,,4,,No,East,3,,,,,
58,Improve working conditions,Part Time,,,Yes,4,No,6,2,3,4,5,1,paid day off,2,2,2,2,3,3,more hours,0,3,,4,,No,South,2,,,,,
59,Job security,Part Time,,,I don't know,3,No,6,6,6,3,2,1,,2,2,2,3,3,2,,0,3,,3,,No,South,2,,,,,
60,Increasing pay,Part Time,,,No,2,No,4,2,3,5,6,1,,1,2,1,3,3,3,,,3,,3,,No,North,2,,,,,
61,Job security,Part Time,,,Yes,3,No,6,6,6,3,2,1,,2,2,2,3,3,2,ability to work from home,0,3,,2,,Yes,South,1,,,,,
62,Increasing pay,Part Time,,,No,2,No,2,1,3,4,5,6,pay increase,4,3,1,4,3,3,,,4,,4,,No,East,1,,,,,
63,Increasing pay,Part Time,,,No,2,No,3,1,2,4,5,6,more hours,1,2,1,2,4,3,more hours,,3,,3,,Prefer not to answer,South,2,,,,,
